,,,,,CPX,,,,OC,,,,,,CL,,,,,,GS,,,,,,OCG,,,,,,,
instance,k/|V|,weight,|V|,|E|,T,EG,#N,GI,T,EG,#N,GI,#C,ST,T,EG,#N,GI,#C,ST,T,EG,#N,GI,#C,ST,T,EG,#N,GI,#C(OC),#C(CL),#C(GS),ST
167,20%,unit,15783,24663,6.7,NA,1,100.0,6.8,NA,1,100.0,40,0,8.3,NA,1,100.0,40,0.1,6.7,NA,1,100.0,0,0,8.4,NA,1,100.0,40,38,0,<0.1
169,20%,unit,4768,8576,2.1,NA,1,100.0,2.1,NA,1,100.0,2,<0.1,2.3,NA,1,100.0,2,<0.1,2.2,NA,1,100.0,0,0,2.3,NA,1,100.0,2,2,0,<0.1
171,20%,unit,18096,28281,5.6,NA,1,100.0,5.7,NA,1,100.0,31,<0.1,7.6,NA,1,100.0,31,<0.1,5.6,NA,1,100.0,0,0,7.6,NA,1,100.0,31,31,0,<0.1
173,20%,unit,56860,77264,3574.0,0.2,17801,44.1,3446.1,0.2,13401,46.1,24000,9.3,3487.9,0.1,8764,57.2,3606,0.4,3504.6,0.2,16990,44.1,0,4.3,3523.5,0.2,13458,46.4,24000,1071,0,13.8
175,20%,unit,3523,6446,0.8,NA,1,100.0,0.8,NA,1,100.0,4,0,1.0,NA,1,100.0,3,0,0.8,NA,1,100.0,0,0,0.9,NA,1,100.0,4,3,0,0
177,20%,unit,5066,9112,2.1,NA,1,100.0,2.1,NA,1,100.0,0,0,2.3,NA,1,100.0,0,0,2.1,NA,1,100.0,0,0,2.3,NA,1,100.0,0,0,0,0
179,20%,unit,15783,24663,6.7,NA,1,100.0,6.9,NA,1,100.0,46,<0.1,8.3,NA,1,100.0,46,<0.1,6.8,NA,1,100.0,0,0,8.2,NA,1,100.0,46,44,0,<0.1
181,20%,unit,18096,28281,5.0,NA,1,100.0,5.1,NA,1,100.0,24,0,7.2,NA,1,100.0,24,<0.1,5.0,NA,1,100.0,0,0,7.3,NA,1,100.0,24,24,0,<0.1
183,20%,unit,72420,118362,24.9,NA,1,100.0,24.8,NA,1,100.0,0,0,58.4,NA,1,100.0,0,0,25.2,NA,1,100.0,0,0,60.8,NA,1,100.0,0,0,0,0
185,20%,unit,3523,6446,1.5,NA,1,100.0,1.5,NA,1,100.0,13,0,1.6,NA,1,100.0,9,0,1.4,NA,1,100.0,0,<0.1,1.7,NA,1,100.0,13,9,0,0
187,20%,unit,4227,7734,1.8,NA,1,100.0,1.9,NA,1,100.0,1,0,2.0,NA,1,100.0,1,0,1.8,NA,1,100.0,2,0,2.0,NA,1,100.0,1,1,2,0
189,20%,unit,7400,13600,2.0,NA,1,100.0,2.0,NA,1,100.0,0,0,2.5,NA,1,100.0,0,0,2.0,NA,1,100.0,0,0,2.5,NA,1,100.0,0,0,0,0
